"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee,Apogee,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Tachikoma (Lemur 2F29),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,2/15/2017,2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008BC,41998,,,JMSatCat9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Tallhamn-ATC (Lemur 2F73),NR (5/18),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,0,492,532,2.91E-03,82.9,94.8,10,,,1/21/2018,2018,,Spire Global,USA,Rocket Lab Launch Complex 1,Electron,2018-010E,43167,,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-TheNickMolo (Lemur 2F76),NR (5/18),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,571,588,1.22E-03,97.3,96.2,10,,,1/31/2018,2018,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-014F,43185,,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-TrutnaHD (Lemur 2-F19),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,397,406,6.65E-04,51.6,92.6,10,,,12/9/2016,2016,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,1998-067LE,42069,,,JMSatCat9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-UramChanSol (Lemur 2F78),NR (5/18),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,571,589,1.29E-03,97.3,96.2,10,,,1/31/2018,2018,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-014D,43183,,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Wingo (Lemur 2-F17),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,498,507,6.55E-04,51.6,94.6,10,,,10/17/2016,2016,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062F,41874,,,JMSatCat9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Xiaoqing (Lemur-2 F15),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,498,507,6.55E-04,51.6,94.6,10,,,10/17/2016,2016,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062C,41871,,,JMSatCat9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-XueniTerence (Lemur 2F35),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,94.6,10,,,6/23/2017,2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036H,24772,,,JMSatcat/4_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-YongLin (Lemur 2F50),NR (3/18),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,450,452,1.47E-04,51.6,93.6,10,,,12/9/2017,2017,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071J,43045,,,JMSatcat/3-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Zachary (Lemur 2F46),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,587,597,7.18E-04,97.6,96.5,10,,,7/14/2017,2017,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042W,42845,,,JMSatcat/5_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO Vantage 1,NR (5/18),Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,LEO,Sun-Synchronous,0,494,506,8.73E-04,97.5,94.6,100,,,1/11/2018,2018,,Surrey Satellite Technology Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2018-004C,43113,Prototype for low earth  constellation - TeleSat Canada,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LilacSat-1 (QB50-CN02, Zidingxiang-1)",Belgium,Belgium,Harbin Institute of Technology,Civil,Earth Science,,LEO,Non-Polar Inclined,0,402,403,7.38E-05,51.6,92.6,4,,,5/26/2017,2017,,Harbin Institute of Technology,China,International Space Station,Nanorack Deployer,1998-067ME,42725,Carries an Ion-Neutral Mass Spectrometer (INMS).,,JMSatcat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LilacSat-2 (CAS-3H, Zidingxiang-2)",NR,China,Harbin Institute/China Amateur Satellite - CAMSAT,Civil,Technology Development,,LEO,Sun-Synchronous,0,520,541,1.52E-03,97.47,95.24,11,,,9/19/2015,2015,,Harbin Institute of Technology,China,Taiyuan Launch Center,Long March 6,2015-049K,40908,Technology demonstration and carries amateur radio.,,JM 12_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ling Qiao,NR,China,Xinwei Telecom Technology Company,Commercial,Technology Development,,LEO,Sun-Synchronous,0,779,808,2.02E-03,98.47,100.73,100,,,9/4/2014,2014,,Xinwei Telecom Technology Co/Tsinghua University,China,Jiuquan Satellite Launch Center,Long March 2D,2014-051A,40136,Test satellite for multimedial communications.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINK (QB50-KR01, Little Intelligent Nanosatellite of KAIST)",NR (10/17),South Korea,Korean Advanced Institute of Science and Technology (KAIST),Government,Space Science,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.4,3,,,5/18/2017,2017,0.25,Korean Advanced Institute of Science and Technology,South Korea,International Space Station,Nanorack Deployer,1998-067LV,42714,Equipped with an ion-neutral mass spectrometer and two Langmuir probes,,JMSatcat/10_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lituanicasat-2,NR (10/17),Lithuania,Vilnius University,Civil,Technology Development,,LEO,Sun-Synchronous,0,496,512,1.16E-03,97.45,94.69,3,,,6/22/2017,2017,,Vilnius University,Lithuania,Satish Dhawan Space Centre,PSLV,2017-036D,42768,Part of European Union QB50 program.,,JMSatcat10_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKW-1 (Land Exploration Satellite 1),NR (3/18),China,People's Liberation Army,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,489,502,9.47E-04,97.4,94.5,,,,12/4/2017,2017,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2017-077A,43034,Suspected to be part of the Yaogan system.,,JMSatcat/3_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKW-2 (Land Exploration Satellite 2),NR (5/18),China,People's Liberation Army,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,489,502,9.47E-04,97.4,94.5,,,,12/22/2017,2017,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2017-084A,43080,Suspected to be part of the Yaogan system.,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKW-3 (Land Exploration Satellite 3),NR (5/18),China,People's Liberation Army,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,488,503,1.09E-03,97.3,94.5,,,,1/13/2018,2018,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-006A,43146,,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKW-4 (Land Exploration Satellite 4),NR (5/18),China,People's Liberation Army,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,489,502,9.47E-04,97.3,94.5,,,,3/17/2018,2018,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-025A,43236,,,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S1 (Cosmos 2455),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,900,911,7.56E-04,67.2,103.1,"5,000",,,11/20/2009,2009,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,2009-063A,36095,"New generation electronic reconnaissance satellite, possibly will work as part of the Liana electronic reconnaissance system. ",,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S1 (Cosmos 2524),NR (3/18),Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,908,916,5.49E-04,67.1,101,"5,000",,,12/3/2017,2017,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2017-076A,43032,Electronic intelligence gathering (ELINT).,,JMSatcat/3_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S2 (Cosmos 2502),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,901,910,6.19E-04,67.15,103.11,"5,000",,,12/23/2014,2014,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-086A,40358,Electronic intelligence gathering (ELINT).,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LQSat (Lingqiao Satellite, Jilian 1A)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Technology Development,LEO,Sun-Synchronous,0,640,663,1.64E-03,98.04,97.77,55,,,10/7/2015,2015,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057A,40958,Technology development in earth imaging.,,JM /12_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luch 5A,Russia,Russia,Russian Federal Space Agency,Government,Communications,,GEO,,166.99,35778,35793,1.78E-04,4.85,1436.8,950,,,12/11/2011,2011,,ISS Reshetnev/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2011-074B,37951,"Seven S-band and Ku-band channels. The 1,148-kg spacecraft will provide TV and data communications links between the International Space Station and the ground, as well as orbital control of spacecraft in low Earth orbit.",,JM/1_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luch 5B,Russia,Russia,Russian Federal Space Agency,Government,Communications,,GEO,,-16,35772,35801,3.44E-04,0.22,1436.09,"1,282",950,,11/2/2012,2012,,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2012-061A,38977,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS.",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luch 5V,Russia,Russia,Russian Federal Space Agency,Government,Communications,,GEO,,95,35767,35802,4.15E-04,4.76,1435.99,"1,148",950,"2,200",4/28/2014,2014,10,OAO Resetneva,Russia,Baikonur Cosmodrome,Proton M,2014-023A,39727,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS.",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luch/Olympus,Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,95,35781,35793,1.42E-04,0.05,1436.12,,,,9/27/2014,2014,15,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2014-058A,40258,Likely serve as a data relay station for military satellites when they are orbiting the Earth beyond the range of ground stations. ,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3MSat (Maritime Monitoring and Messaging Microsatellite),Canada,Canada,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,501,515,1.02E-03,97.5,94.7,85,,,6/22/2016,2016,,Com Dev International (Honeywell Canada),Canada,Satish Dhawan Space Centre,PSLV XL,2016-040G,41605,"Automatic Identification System (AIS) satellite; real-time data on the locations, speeds and routes of vessels through Canadian oceans.",,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MakerSat 0,NR (3/18),USA,Northwest Nazarene University (Idaho),Civil,Technology Development,,LEO,Sun-Synchronous,0,454,817,2.59E-02,97.6,97.4,3,,,11/18/2017,2017,,Northwest Nazarene University,USA,Vandenberg AFB,Delta 2,2017-073D,43016,Determine the best polymer for 3D printing future spacecraft.,,JMSatcat/3_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroc Tubsat ,NR,Morocco/Germany,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,,LEO,Sun-Synchronous,0,984,1014,2.04E-03,99.2,105.1,47,,56,12/10/2001,2001,3,CRTS Morocco/Institut für Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,2001-056D,27004,Test three-dimensional attitude control system for future remote sensing; currently used for ice observation in Arctic.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Valier,NR (10/17),Italy,"Max Valier school Bolzano, Italy, Oskar von Miller school, Merano, Italy",Civil,Space Science/Technology Development,,LEO,Sun-Synchronous,0,496,516,1.45E-03,97.45,94.7,16,,,6/23/2017,2017,,Two high schools and OHB System AG,Italy/Germany,Satish Dhawan Space Centre,PSLV,2017-036P,42778,Carries a mini x-ray telescope added to the mission by the Max Planck Institute of Extraterrestrial Physics (MPE).,,JMSatcat/10_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazaalai (Bird MM),NR (10/17),Mongolia,Kyushu Institute of Technology (KIT),Civil,Communications,Amateur Radio,LEO,Non-Polar Inclined,0,401,410,6.64E-04,51.6,92.6,2,,,7/7/2017,2017,,Kyushu Institute of Technology (KIT),Japan,International Space Station,Nanorack Deployer,1998-067MW,42822,Five country effort at Kyushu Institute of Technology for learning and capacity building.,,JMSatcat/10_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),USA,USA,University of Michigan/Montana University,Civil,Technology Development,,LEO,Polar,0,442,724,2.03E-02,101.7,97.45,2,,,10/28/2011,2011,,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,2011-061F,37855,M-Cubed is as a technology demonstrator platform for high resolution imaging technology intended for use in a future Nasa mission; E1P-U2 mission is to detect the Van Allen radiation belts.,,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 2 (Malaysia East Asia Sat 2),Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,148.00,35782,35791,1.07E-04,1.09,1436.12,"1,450",650,"1,200 (BOL)",11/14/1996,1996,11.5,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-063B,24653,"Brought back from retirement 9/11, highly inclined. Digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 6 C-band, 9 Ku-band; Malaysia and neighboring countries.",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 3 (Malaysia East Asia Sat 3),Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,91.54,35778,35794,1.90E-04,0,1436.1,"4,900","3,220","10,800",12/11/2006,2006,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton M,2006-056A,29648,"24 C-band, 24 Ku-band",,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,91.5,35728,35788,7.12E-04,0.04,1434.6,"2,417",,,6/21/2009,2009,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-032A,35362,"12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa.",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 3B (Malaysia East Asia Sat 3B),Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,91.5,35772,35802,3.56E-04,0.05,1436.11,"5,800",,"16,000",9/11/2014,2014,15,Airbus Defence and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2014-054B,40147,48 Ku-band transponders.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megha-Tropiques,India,India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,853,868,1.04E-03,20,102.2,"1,000",,,10/12/2011,2011,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2011-058A,37838,The data collected by the satellite will allow improvement in knowledge on the water cycle contribution to the climate dynamic in the tropical atmosphere and our understanding of the processes linked to the tropical convection.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,,-27.95,35598,35976,4.48E-03,5.1,1436.13,"8,000","4,000",,8/27/1994,1994,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223,In the $1 billion range; ELINT; signals intelligence.,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,,-23.51,33674,37900,5.01E-02,7.33,1436.12,"8,000","4,000",,4/24/1996,1996,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855,In the $1 billion range; ELINT; signals intelligence.,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mercury 3 (NROL 67, USA 250)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,,0,35500,35500,0.00E+00,7,1436,"3,900",,,4/10/2014,2014,,Unknown,USA,Cape Canaveral,Atlas 5,2014-020A,39652,Speculated to be a new SIGINT satellite - not verified.,,Approximate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-3,Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,0,2253,38105,6.75E-01,62.85,645.98,"2,500",,,11/2/2010,2010,,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2010-058A,37212,"Military communications - designed to replace Molniya and Parus spacecraft; this is the third of the series, first success.",,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-4,Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,0,1722,38637,6.95E-01,64.47,717.88,"2,500",,,5/4/2011,2011,,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2011-018A,37398,Military communications - designed to replace Molniya and Parus spacecraft; this is the fourth of the series.,,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-6 (Meridian 16L),Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,0,1494,38860,7.04E-01,63.77,718.04,"2,500",,,11/14/2012,2012,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2012-063A,38995,Military communications - designed to replace Molniya and Parus spacecraft; this is the sixth of the series.,,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-7 (Meridian 17L),Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,0,962,39398,7.24E-01,62.82,717.88,"2,500",,,10/30/2014,2014,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2014-069A,40296,Military communications - designed to replace Molniya and Parus spacecraft; this is the seventh of the series.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor-M N-2,Russia,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,819,828,6.26E-04,98.81,101.3,"2,778",,,7/8/2014,2014,5,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2.1b,2014-037A,40069,Imaging meteorological satellite carrying a range of weather and climate sensors,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meteosat 10 (MSGalaxy-3,MSG 3)",EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,0,35784,35791,8.30E-05,1.8,1436.15,"2,000",,,7/5/2012,2012,7,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2012-035B,38552,,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteosat 11 (MSG 4),EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,0,35791,35795,4.74E-05,3.1,1436.1,"2,000","1,200",,7/15/2015,2015,12,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2015-034A,40732,,,JM/8_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meteosat 8 (MSGalaxy-1, MSG-1)",EUMETSAT/ESA,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,41.5,35781,35793,1.42E-04,0.46,1436.1,"2,000","1,000",700,8/21/2002,2002,12,Alcatel,France,Guiana Space Center,Ariane 5,2002-040B,27509,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States; planned system of 3 satellites,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meteosat 9 (MSGalaxy-2, MSG 2)",EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,-0.02,35775,35795,2.37E-04,0.29,1436,"2,000","1,000",700,12/21/2005,2005,12,Alcatel/Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,2005-049B,28912,Meteorological spacecraft; intended primarily to support the National Meteorologicla Services (NMS) of Member States; planned system of 3 satellites.,,JM/12_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetOp-A (Meteorological Operational satellite),EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,820,821,6.95E-05,98.7,101.3,"4,193","3,750",,10/19/2006,2006,5,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat (Soyuz 2),2006-044A,29499,First polar-orbiting European meteorological satellite.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetOp-B (Meteorological Operational satellite),EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,819,822,2.09E-04,98.7,101.3,"4,085",,,9/17/2012,2012,5,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2.1a,2012-049A,38771,,,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexsat-3 (Mexsat Bicentenario),Mexico,Mexico,Mexico Telecomm,Government/Military,Communications,,GEO,,-114.9,35784,35791,8.30E-05,0.07,1436.16,"2,900",,"3,500",12/19/2012,2012,15,Orbital Sciences Corp.,USA,Guiana Space Center,Atlas 5 ECA,2012-075B,39035,Start of 3-satellite constellation.,,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexsat3 (Morelos-3),Mexico,Mexico,Mexico Telecomm,Government,Communications,,GEO,,-116.8,35767,35805,4.51E-04,7.12,"1,436","5,325",,,10/2/2015,2015,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-056A,40946,,,JM/12_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicroMAS-2A (Micro-sized Microwave Atmospheric Satellite),NR (5/18),USA,MIT/Lincoln Laboratory-University of Massachusetts  Amherst,Civil/Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,493,505,8.73E-04,97.5,95,4,,,1/11/2018,2018,,MIT/LL-UM  Amherst,USA,Satish Dhawan Space Centre,PSLV,2018-004W,43131,"Foundation for a 12-satellite, three-plane constellation known as TROPICS-CubeSats deployed into 600-Kilometer orbits at a 30-degree inclination to deliver high-revisit coverage of the tropical regions",,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
